primitive,c_entry,offset,arity,kernel,effect_policy,pure_go_contract,verification_vector,completion_action
as.character,do_asatomic,0,-1,coercion-atomic,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
as.integer,do_asatomic,1,-1,coercion-atomic,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
as.double,do_asatomic,2,-1,coercion-atomic,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
as.numeric,do_asatomic,2,-1,coercion-atomic,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
as.complex,do_asatomic,3,-1,coercion-atomic,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
as.logical,do_asatomic,4,-1,coercion-atomic,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
as.raw,do_asatomic,5,1,coercion-atomic,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
as.call,do_ascall,0,1,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
as.environment,do_as_environment,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
storage.mode<-,do_storage_mode,0,2,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
asCharacterFactor,do_asCharacterFactor,0,1,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
as.vector,do_asvector,0,2,coercion-mode,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
paste,do_paste,0,4,character,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
paste0,do_paste,1,3,character,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
file.path,do_filepath,0,2,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
format,do_format,0,9,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
format.info,do_formatinfo,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
cat,do_cat,0,6,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
do.call,do_docall,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
str2lang,do_str2lang,0,1,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
str2expression,do_str2lang,1,1,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
nchar,do_nchar,1,4,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
nzchar,do_nzchar,1,-1,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
substr,do_substr,1,3,character,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
startsWith,do_startsWith,0,2,character,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
endsWith,do_startsWith,1,2,character,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
substr<-,do_substrgets,1,4,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
strsplit,do_strsplit,1,5,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
abbreviate,do_abbrev,1,3,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
make.names,do_makenames,0,2,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
pcre_config,do_pcre_config,1,0,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
grep,do_grep,0,8,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
grepl,do_grep,1,8,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
grepRaw,do_grepraw,0,8,character,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
sub,do_gsub,0,7,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
gsub,do_gsub,1,7,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
regexpr,do_regexpr,0,6,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
gregexpr,do_regexpr,1,6,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
regexec,do_regexec,1,5,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
agrep,do_agrep,0,8,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
agrepl,do_agrep,1,8,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
adist,do_adist,1,8,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
aregexec,do_aregexec,1,7,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
tolower,do_tolower,0,1,character,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
toupper,do_tolower,1,1,character,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
chartr,do_chartr,1,3,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
sprintf,do_sprintf,1,-1,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
make.unique,do_makeunique,0,2,matching,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
charToRaw,do_charToRaw,1,1,character,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
rawToChar,do_rawToChar,1,2,character,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
rawShift,do_rawShift,1,2,bitwise,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
intToBits,do_intToBits,1,1,bitwise,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
numToBits,do_numToBits,1,1,bitwise,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
numToInts,do_numToInts,1,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
rawToBits,do_rawToBits,1,1,bitwise,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
packBits,do_packBits,1,2,bitwise,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
utf8ToInt,do_utf8ToInt,1,1,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
intToUtf8,do_intToUtf8,1,3,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
validUTF8,do_validUTF8,1,1,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
validEnc,do_validEnc,1,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
encodeString,do_encodeString,1,5,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
iconv,do_iconv,0,6,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
strtrim,do_strtrim,0,2,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
strtoi,do_strtoi,0,2,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
strrep,do_strrep,0,2,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
is.null,do_is,NILSXP,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.logical,do_is,LGLSXP,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.integer,do_is,INTSXP,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.double,do_is,REALSXP,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.complex,do_is,CPLXSXP,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.character,do_is,STRSXP,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.symbol,do_is,SYMSXP,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.name,do_is,SYMSXP,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.environment,do_is,ENVSXP,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.list,do_is,VECSXP,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.pairlist,do_is,LISTSXP,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.expression,do_is,EXPRSXP,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.raw,do_is,RAWSXP,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.object,do_is,50,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
isS4,do_is,51,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.numeric,do_is,100,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.matrix,do_is,101,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.array,do_is,102,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.atomic,do_is,200,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.recursive,do_is,201,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.call,do_is,300,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.language,do_is,301,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.function,do_is,302,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.single,do_is,999,1,predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.na,do_isna,0,1,missingness,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.nan,do_isnan,0,1,numeric-predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.finite,do_isfinite,0,1,numeric-predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.infinite,do_isinfinite,0,1,numeric-predicate,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
is.vector,do_isvector,0,2,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
proc.time,do_proctime,0,0,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
gc.time,do_gctime,0,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
withVisible,do_withVisible,1,1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
expression,do_expression,1,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
interactive,do_interactive,0,0,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
invisible,do_invisible,0,1,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rep,do_rep,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
rep.int,do_rep_int,0,2,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rep_len,do_rep_len,0,2,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
seq.int,do_seq,0,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
seq_len,do_seq_len,0,1,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
seq_along,do_seq_along,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
list,do_makelist,1,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
xtfrm,do_xtfrm,0,1,ordering,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
enc2native,do_enc2,0,1,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
enc2utf8,do_enc2,1,1,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
emptyenv,do_emptyenv,0,0,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
baseenv,do_baseenv,0,0,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
globalenv,do_globalenv,0,0,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
environment<-,do_envirgets,0,2,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
pos.to.env,do_pos2env,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
.C,do_dotCode,0,-1,runtime,pure,defined-pure-go-error,native-abi,preserve explicit boundary; requires cgo/plugin for execution
.Fortran,do_dotCode,1,-1,runtime,pure,defined-pure-go-error,native-abi,preserve explicit boundary; requires cgo/plugin for execution
.External,do_External,0,-1,runtime,pure,defined-pure-go-error,native-abi,preserve explicit boundary; requires cgo/plugin for execution
.External2,do_External,1,-1,runtime,pure,defined-pure-go-error,native-abi,preserve explicit boundary; requires cgo/plugin for execution
.Call,do_dotcall,0,-1,runtime,pure,defined-pure-go-error,native-abi,preserve explicit boundary; requires cgo/plugin for execution
.External.graphics,do_Externalgr,0,-1,runtime,pure,defined-pure-go-error,native-abi,preserve explicit boundary; requires cgo/plugin for execution
.Call.graphics,do_dotcallgr,0,-1,runtime,pure,defined-pure-go-error,native-abi,preserve explicit boundary; requires cgo/plugin for execution
eapply,do_eapply,0,4,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
lapply,do_lapply,0,2,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
vapply,do_vapply,0,4,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
mapply,do_mapply,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
Version,do_version,0,0,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
machine,do_machine,0,0,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
commandArgs,do_commandArgs,0,0,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
internalsID,do_internalsID,0,0,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
system,do_system,0,7,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
system,do_system,0,4,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
shell.exec,do_shellexec,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
Sys.which,do_syswhich,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
mkjunction,do_mkjunction,0,2,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
tzone_name,do_tzone_name,0,0,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
parse,do_parse,0,6,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
parse_Rd,do_parseRd,0,7,runtime,pure,defined-pure-go-error,gnu-r-subsystem,preserve explicit boundary; implement only with an independent parser
deparseRd,do_deparseRd,0,2,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
parseLatex,do_parseLatex,0,5,runtime,pure,defined-pure-go-error,gnu-r-subsystem,preserve explicit boundary; implement only with an independent parser
save,do_save,0,6,serialization,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
saveToConn,do_saveToConn,0,6,serialization,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
load,do_load,0,2,serialization,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
loadFromConn2,do_loadFromConn2,0,3,serialization,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
loadInfoFromConn2,do_loadFromConn2,1,1,serialization,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
serializeToConn,do_serializeToConn,0,5,serialization,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
unserializeFromConn,do_unserializeFromConn,0,2,serialization,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
serializeInfoFromConn,do_unserializeFromConn,1,1,serialization,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
deparse,do_deparse,0,5,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
dput,do_dput,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
dump,do_dump,0,5,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
quit,do_quit,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
readline,do_readln,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
print.default,do_printdefault,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
prmatrix,do_prmatrix,0,6,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
gc,do_gc,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
gcinfo,do_gcinfo,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
gctorture,do_gctorture,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
gctorture2,do_gctorture2,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
memory.profile,do_memoryprofile,0,0,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
mem.maxVSize,do_maxVSize,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
mem.maxNSize,do_maxNSize,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
split,do_split,0,2,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
is.loaded,do_isloaded,0,-1,serialization,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
recordGraphics,do_recordGraphics,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
dyn.load,do_dynload,0,4,serialization,external-io,defined-pure-go-error,native-abi,preserve explicit boundary; requires cgo/plugin for execution
dyn.unload,do_dynunload,0,1,serialization,external-io,defined-pure-go-error,native-abi,preserve explicit boundary; requires cgo/plugin for execution
ls,do_ls,1,3,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
typeof,do_typeof,1,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
eval,do_eval,0,3,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
Exec,do_tailcall,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
Tailcall,do_tailcall,1,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
returnValue,do_returnValue,0,1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
sys.parent,do_sys,1,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
sys.call,do_sys,2,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
sys.frame,do_sys,3,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
sys.nframe,do_sys,4,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
sys.calls,do_sys,5,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
sys.frames,do_sys,6,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
sys.on.exit,do_sys,7,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
sys.parents,do_sys,8,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
sys.function,do_sys,9,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
traceback,do_traceback,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
browserText,do_sysbrowser,1,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
browserCondition,do_sysbrowser,2,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
browserSetDebug,do_sysbrowser,3,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
parent.frame,do_parentframe,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
sort,do_sort,1,2,ordering,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
is.unsorted,do_isunsorted,0,3,ordering,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
sorted_fpass,do_sorted_fpass,0,3,ordering,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
psort,do_psort,0,2,ordering,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
qsort,do_qsort,0,2,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
radixsort,do_radixsort,0,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
order,do_order,0,-1,ordering,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rank,do_rank,0,3,ordering,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
scan,do_scan,0,19,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
t.default,do_transpose,0,1,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
aperm,do_aperm,0,3,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
builtins,do_builtins,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
args,do_args,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
formals,do_formals,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
body,do_body,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
bodyCode,do_bodyCode,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
environment,do_envir,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
environmentName,do_envirName,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
env2list,do_env2list,0,3,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
reg.finalizer,do_regFinaliz,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
options,do_options,0,-1,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
getOption,do_getOption,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
sink,do_sink,0,4,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
sink.number,do_sinknumber,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
rapply,do_rapply,0,5,iteration,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
islistfactor,do_islistfactor,0,2,iteration,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
colSums,do_colsum,0,4,reduction,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
colMeans,do_colsum,1,4,reduction,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
rowSums,do_colsum,2,4,reduction,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
rowMeans,do_colsum,3,4,reduction,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
tracemem,do_tracemem,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
retracemem,do_retracemem,0,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
untracemem,do_untracemem,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
inspect,do_inspect,0,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
address,do_address,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
named,do_named,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
refcnt,do_refcnt,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
merge,do_merge,0,4,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
capabilities,do_capabilities,0,0,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
capabilitiesX11,do_capabilitiesX11,0,0,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
new.env,do_newenv,0,3,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
parent.env,do_parentenv,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
parent.env<-,do_parentenvgets,0,2,replacement,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
topenv,do_topenv,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
l10n_info,do_l10n_info,0,0,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
Cstack_info,do_Cstack_info,0,0,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
mmap_file,do_mmap_file,0,-1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
munmap_file,do_munmap_file,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
wrap_meta,do_wrap_meta,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
tryWrap,do_tryWrap,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
altrep_class,do_altrep_class,0,1,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
file.show,do_fileshow,0,5,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
file.create,do_filecreate,0,2,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
file.remove,do_fileremove,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
